timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pitch,roll,yaw
2025-04-21T23:00:23.745965,-1.795,-0.453,1.216,127.084,177.926,-128.72,-26.19,5.38,188.97
2025-04-21T23:00:23.745997,-1.174,0.918,1.884,245.303,-14.988,-9.217,-8.4,149.42,332.9
2025-04-21T23:00:23.746022,-1.325,-1.68,1.841,21.106,77.46,221.626,44.72,27.2,33.35
2025-04-21T23:00:23.746047,-1.029,-1.99,0.981,156.886,-159.893,-93.219,22.73,-45.44,147.23
2025-04-21T23:00:23.746078,0.912,0.683,-1.094,-8.204,-132.285,-124.44,-56.24,-95.24,175.92
2025-04-21T23:00:23.746103,-0.48,1.798,1.972,-11.395,-46.148,-211.03,-63.5,-60.92,259.84
2025-04-21T23:00:23.746132,1.556,-0.447,-0.412,-19.274,12.206,-224.374,-60.28,-82.34,174.2
2025-04-21T23:00:23.746157,-1.515,-1.484,-0.302,-75.487,181.621,-177.515,-16.93,75.61,250.31
2025-04-21T23:00:23.746201,0.434,-0.46,0.416,-24.657,90.031,205.532,74.99,-7.84,21.2
2025-04-21T23:00:23.746227,-0.795,-0.321,1.937,42.8,109.121,-196.458,-69.94,-120.64,223.34
2025-04-21T23:00:23.746253,-0.986,-0.573,-1.674,-41.249,186.18,-219.172,2.19,-127.21,91.18
2025-04-21T23:00:23.746286,-1.966,-0.253,-0.291,-50.904,-98.815,197.434,70.25,-12.34,2.11
2025-04-21T23:00:23.746427,1.77,0.909,1.338,-230.115,-129.687,-164.935,52.17,176.64,225.66
2025-04-21T23:00:23.746464,-1.652,-0.763,-1.125,-227.366,-94.795,-21.681,-63.26,1.12,255.86
2025-04-21T23:00:23.746492,-1.884,0.242,0.328,-94.829,-155.137,155.232,-74.08,-30.98,319.27
2025-04-21T23:00:23.746519,-1.425,-0.036,-0.966,-144.113,71.991,-8.079,-79.08,-119.05,326.37
2025-04-21T23:00:23.746547,1.12,0.861,-1.254,-217.554,-100.747,190.019,78.03,131.14,220.28
2025-04-21T23:00:23.746575,0.086,-1.376,1.867,204.753,187.386,-224.227,19.98,54.32,217.8
2025-04-21T23:00:23.746602,-1.205,-0.508,1.159,92.234,93.886,-114.975,-77.95,-44.84,142.7
2025-04-21T23:00:23.746628,-0.534,0.736,0.663,84.179,48.206,-166.824,31.12,102.49,48.91
2025-04-21T23:00:23.746653,1.617,0.872,-0.032,65.4,50.948,208.32,58.72,13.82,77.15
2025-04-21T23:00:23.746680,-1.898,-0.077,0.316,-6.772,122.53,-31.067,-69.73,103.33,170.67
2025-04-21T23:00:23.746707,-0.004,1.51,-0.478,-10.471,-129.939,-170.199,5.91,172.03,340.6
2025-04-21T23:00:23.746733,0.633,0.254,0.142,-118.191,-45.8,78.533,-11.33,-63.28,342.82
2025-04-21T23:00:23.746758,1.091,0.472,0.871,211.301,16.882,-115.319,-59.5,-13.65,122.58
2025-04-21T23:00:23.746786,1.578,-1.219,-0.684,-130.165,-73.231,72.662,72.19,21.42,197.63
2025-04-21T23:00:23.746834,-1.994,-0.938,0.03,-28.664,-158.646,222.379,-53.05,-102.02,352.34
2025-04-21T23:00:23.746867,0.364,-1.91,-0.939,84.211,-105.59,-39.175,-76.22,-61.22,295.33
2025-04-21T23:00:23.746893,0.943,-1.831,0.962,213.743,147.816,-82.3,18.58,31.23,135.01
2025-04-21T23:00:23.746918,1.198,-1.55,0.997,-173.604,49.148,-18.487,57.06,-114.38,163.7
2025-04-21T23:00:23.746943,0.035,1.474,-0.805,128.379,74.352,220.566,16.4,-61.43,191.93
2025-04-21T23:00:23.746969,-0.059,-1.26,0.705,-24.931,-142.353,-81.675,12.59,94.79,200.73
2025-04-21T23:00:23.746995,0.008,0.702,1.839,-24.9,173.073,-231.805,70.31,-120.24,270.55
2025-04-21T23:00:23.747032,-1.176,0.343,-1.367,-84.92,4.45,175.114,39.53,-15.14,182.37
2025-04-21T23:00:23.747064,0.193,-0.577,0.86,-114.642,225.632,-211.959,-19.13,75.67,290.35
2025-04-21T23:00:23.747090,-0.218,-0.97,1.366,121.735,195.02,66.653,89.49,40.0,359.27
2025-04-21T23:00:23.747877,0.528,1.271,-1.889,73.674,79.564,40.073,-22.94,-42.04,119.19
2025-04-21T23:00:23.747933,-0.532,0.196,-0.627,205.166,-122.877,111.435,41.93,28.15,21.79
2025-04-21T23:00:23.747962,1.161,1.035,1.915,3.314,-203.791,-162.001,41.34,-111.4,15.85
2025-04-21T23:00:23.747989,0.896,1.153,-1.628,85.77,-18.706,120.567,39.11,-19.5,84.35
2025-04-21T23:00:23.748014,1.816,-0.319,-1.165,-206.717,92.446,-90.379,-24.91,-44.64,146.03
2025-04-21T23:00:23.748055,0.852,0.1,1.384,-138.619,-130.51,213.874,-16.05,137.6,331.46
2025-04-21T23:00:23.748095,0.997,1.126,1.873,178.507,-9.99,126.372,78.44,-165.88,135.97
2025-04-21T23:00:23.748121,-1.69,-0.932,-1.817,245.298,-154.423,59.901,75.15,-97.13,186.3
2025-04-21T23:00:23.748147,1.29,-1.229,1.214,143.472,-138.664,-24.315,-64.8,-18.34,140.88
2025-04-21T23:00:23.748173,0.426,1.496,0.635,-123.265,208.685,-184.472,-14.95,170.89,104.33
